"nrkunna","gaedi","pref_stad","as_timi","staerd","greidslugeta" 
"352",2.923,"Vesturbaer","18",87,171665
"353",3.606,"Mosfellsbaer","12",216,249345
"354",3.672,"Fossvogur","15",53,159812
"355",3.001,"Hafnarfjordur","12",154,187954
"356",3.26,"Haaleiti","20",96,154296
"357",2.448,"Vesturbaer","7",123,132040
"358",3.145,"Haaleiti","17",74,151204
"359",3.168,"Arbaer","10",180,210036
"360",2.745,"Mosfellsbaer","23",212,159513
"361",3.723,"Seltjarnarnes","11",74,206843
"362",3.178,"Arbaer","99",99,127636
"363",3.601,"Hlutlaus","22",164,197306
"364",1.764,"Kopavogur","13",70,51932
"365",2.571,"Seltjarnarnes","23",81,174425
"366",3.362,"Grafarvogur","18",106,127196
"367",3.046,"Fossvogur","99",77,129630
"368",2.844,"Haaleiti","20",101,165867
"369",2.496,"Kopavogur","15",95,176756
"370",2.803,"Arbaer","17",146,156193
"371",2.9,"Breidholt","18",86,123942
"372",3.375,"Fossvogur","7",130,143116
"373",3.649,"Gardabaer","17",104,130773
"374",2.61,"Gerdin","23",162,122319
"375",3.109,"Fossvogur","19",75,189912
"376",3.833,"Hlutlaus","19",114,130541
"377",2.698,"Hlutlaus","35",63,142957
"378",2.897,"Arbaer","21",77,150517
"379",2.061,"Breidholt","5",72,147221
"380",3.051,"LaugarneshverfiVogar","30",120,140652
"381",2.545,"Midbaer","30",36,85692
"382",3.333,"LaugarneshverfiVogar","22",85,138065
"383",2.602,"Hafnarfjordur","14",96,153385
"384",2.104,"Grafarvogur","11",110,174163
"385",2.448,"Fossvogur","33",57,145445
"386",3.039,"Gardabaer","16",73,134260
"387",1.863,"Mosfellsbaer","32",82,78629
"388",2.819,"Fossvogur","9",92,120773
"389",3.701,"Mosfellsbaer","3",97,121195
"390",3.333,"Gardabaer","12",136,150995
"391",2.747,"Midbaer","20",122,123169
"392",3.574,"Haaleiti","20",109,132112
"393",3.76,"Hafnarfjordur","10",65,215511
"394",2.333,"Hlidar","18",82,173709
"395",3.028,"Kopavogur","35",78,132765
"396",3.81,"Hlutlaus","34",113,136828
"397",2.54,"Gardabaer","22",80,170225
"398",3.61,"Gardabaer","34",51,109824
"399",3.056,"Mosfellsbaer","31",101,121713
"400",3.403,"Hafnarfjordur","99",110,132531
"401",2.801,"Gerdin","21",59,132932
"402",3.444,"Grafarholt","20",52,199232
"403",4.177,"Arbaer","15",102,159204
"404",2.811,"Hafnarfjordur","9",69,146351
"405",2.085,"Midbaer","11",109,125381
"406",3.041,"Midbaer","31",111,137060
"407",1.888,"Fossvogur","22",166,124361
"408",2.533,"LaugarneshverfiVogar","7",87,125273
"409",3.79,"Arbaer","35",119,144590
"410",3.839,"Midbaer","17",69,188446
"411",2.476,"LaugarneshverfiVogar","19",59,158916
"412",3.594,"Grafarholt","8",173,210938
"413",3.01,"Gardabaer","24",84,192979
"414",2.66,"Grafarvogur","16",111,163871
"415",2.242,"Breidholt","8",98,120316
"416",3.299,"Breidholt","14",137,162137
"417",2.625,"Kopavogur","17",142,150549
"418",2.318,"Seltjarnarnes","13",111,170722
"419",3.737,"Midbaer","13",96,139207
"420",3.087,"Gardabaer","99",61,140085
"421",3.308,"Hlutlaus","11",143,176721
"422",2.623,"Hafnarfjordur","14",216,182229
"423",2.384,"Vesturbaer","12",58,177886
"424",2.508,"Gerdin","99",93,139623
"425",3.298,"Hlutlaus","10",122,140490
"426",3.034,"Haaleiti","25",58,155310
"427",3.178,"Haaleiti","10",144,163130
"428",3.061,"LaugarneshverfiVogar","15",115,140647
"429",2.503,"Arbaer","99",181,144920
"430",2.003,"Midbaer","9",129,126225
"431",3.249,"Grafarvogur","20",72,172267
"432",2.979,"LaugarneshverfiVogar","25",91,141333
"433",2.741,"Fossvogur","26",152,142682
"434",3.404,"Kopavogur","9",262,315853
"435",3.131,"Gardabaer","10",88,219968
"436",2.335,"LaugarneshverfiVogar","14",78,152942
"437",2.563,"Hlidar","33",145,122830
"438",2.595,"Breidholt","4",246,214488
"439",2.537,"Grafarvogur","7",256,212646
"440",3.667,"Vesturbaer","6",160,201180
"441",2.875,"Kopavogur","18",97,165923
"442",2.638,"Haaleiti","17",101,181661
"443",2.714,"Kopavogur","22",108,166203
"444",3.537,"Fossvogur","34",121,136052
"445",3.853,"Midbaer","8",77,241467
"446",2.09,"Haaleiti","13",54,139038
"447",3.995,"Arbaer","18",63,161275
"448",3.647,"Gardabaer","24",152,180755
"449",1.764,"Hlidar","23",87,125771
"450",2.532,"Mosfellsbaer","20",104,122034
"451",3.091,"Vesturbaer","7",87,140509
"452",3.502,"Vesturbaer","5",82,122317
"453",2.517,"Midbaer","16",120,183529
"454",2.733,"Mosfellsbaer","8",265,225086
"455",2.07,"Breidholt","8",56,204086
"456",3.802,"Hafnarfjordur","3",89,124886
"457",3.507,"Seltjarnarnes","19",90,130667
"458",1.78,"Gardabaer","7",122,120202
"459",2.674,"Mosfellsbaer","9",308,240860
"460",1.736,"Gardabaer","22",62,102858
"461",3.644,"Gardabaer","10",276,329575
"462",2.944,"Grafarholt","28",147,134733
"463",1.855,"Hafnarfjordur","33",123,92649
"464",4.175,"Grafarvogur","17",95,152363
"465",3.138,"Kopavogur","11",179,216415
"466",3.203,"Haaleiti","4",79,137764
"467",1.805,"Hafnarfjordur","99",48,99162
"468",2.347,"Hlutlaus","19",70,129339
"469",2.518,"Grafarholt","28",134,140781
"470",3.206,"Fossvogur","25",97,140868
"471",3.293,"Hlidar","22",159,194069
"472",3.688,"Hlidar","35",93,124287
"473",3.908,"Grafarvogur","4",214,256791
"474",2.804,"Haaleiti","20",78,172223
"475",3.036,"Breidholt","12",82,246521
"476",2.723,"Seltjarnarnes","7",144,120633
"477",3.311,"Hlutlaus","12",169,200862
"478",2.509,"Grafarholt","23",71,193534
"479",4.531,"Gerdin","25",85,135395
"480",1.946,"Breidholt","3",83,126521
"481",2.555,"Vesturbaer","27",134,122040
"482",3.948,"Seltjarnarnes","21",77,176817
"483",3.657,"Arbaer","19",69,154177
"484",2.866,"Breidholt","19",73,148361
"485",3.914,"Fossvogur","11",84,208942
"486",2.047,"Midbaer","10",97,122946
"487",2.996,"Seltjarnarnes","8",93,233179
"488",3.835,"Kopavogur","24",74,123078
"489",3.691,"Hafnarfjordur","27",100,122632
"490",3.516,"Hafnarfjordur","21",136,158528
"491",2.923,"Haaleiti","17",136,166624
"492",1.962,"Hafnarfjordur","99",68,125643
"493",3.442,"Haaleiti","21",79,142778
"494",3.346,"Kopavogur","23",73,124517
"495",2.483,"Vesturbaer","14",91,182807
"496",3.636,"Kopavogur","3",55,125015
"497",3.653,"Hlutlaus","24",125,148615
"498",3.246,"Kopavogur","26",51,119257
"499",2.677,"Mosfellsbaer","99",58,122166
"500",3.157,"LaugarneshverfiVogar","34",115,141352
"501",3.642,"Hafnarfjordur","5",196,236105
"502",2.686,"Grafarholt","8",58,200509
"503",3.286,"Seltjarnarnes","20",153,174795
"504",2.207,"Hlutlaus","13",96,138800
"505",3.485,"Vesturbaer","16",78,136565
"506",2.821,"Hlutlaus","25",72,150718
"507",2.862,"Mosfellsbaer","19",104,196693
"508",2.501,"Vesturbaer","27",183,138319
"509",2.981,"Fossvogur","6",116,236303
"510",4.195,"Arbaer","12",170,271469
"511",3.03,"Midbaer","7",67,122618
"512",2.499,"Gerdin","9",115,210198
"513",1.948,"Mosfellsbaer","7",140,200154
"514",2.329,"Hlidar","14",115,120861
"515",2.431,"LaugarneshverfiVogar","15",90,181468
"516",3.342,"Haaleiti","11",80,179863
"517",2.948,"Breidholt","12",101,213036
"518",3.416,"Midbaer","23",140,170293
"519",3.342,"Midbaer","19",76,152924
"520",2.767,"Hafnarfjordur","14",91,173485
"521",2.229,"Seltjarnarnes","23",186,150991
"522",2.502,"Hlutlaus","33",103,145034
"523",3.141,"Hlutlaus","32",97,133334
"524",3.501,"Vesturbaer","10",185,223393
"525",2.598,"Seltjarnarnes","8",120,207755
"526",2.878,"Grafarvogur","19",65,173235
"527",2.512,"Grafarvogur","16",140,147455
"528",3.245,"Midbaer","4",237,283542
"529",2.451,"Arbaer","10",104,121469
"530",2.656,"Midbaer","8",86,203300
"531",2.875,"Hlutlaus","16",109,165087
"532",3.131,"Seltjarnarnes","4",196,233943
"533",3.776,"Haaleiti","20",82,165764
"534",3.124,"LaugarneshverfiVogar","15",88,128601
"535",3.844,"Arbaer","18",100,157511
"536",2.282,"Gardabaer","24",138,151085
"537",2.775,"Vesturbaer","25",86,151716
"538",2.764,"Mosfellsbaer","15",90,167215
"539",2.41,"Hlidar","23",96,166723
"540",2.059,"Midbaer","18",90,191561
"541",2.757,"Midbaer","3",146,122600
"542",1.878,"Hlutlaus","30",86,111909
"543",2.641,"Midbaer","20",198,157779
"544",3.851,"Hafnarfjordur","24",109,132891
"545",2.92,"Breidholt","17",74,154686
"546",2.691,"Hafnarfjordur","3",121,139280
"547",2.612,"Mosfellsbaer","18",172,144116
"548",3.364,"Mosfellsbaer","18",81,189872
"549",3.588,"Arbaer","8",187,205953
"550",3.045,"Grafarholt","19",93,154200
"551",3.643,"Midbaer","5",70,214165
"552",2.136,"Grafarholt","31",74,125559
"553",2.91,"Mosfellsbaer","18",129,126733
"554",3.278,"Grafarholt","25",78,170550
"555",2.168,"Kopavogur","25",70,141609
"556",3.8,"Hlutlaus","28",110,128384
"557",3.12,"Midbaer","3",114,145298
"558",3.582,"Arbaer","25",106,128993
"559",2.819,"Gerdin","32",145,131934
"560",2.929,"Hlutlaus","18",59,168746
"561",3.241,"Gardabaer","6",41,209399
"562",2.789,"Grafarholt","14",70,177017
"563",3.123,"Fossvogur","10",172,206922
"564",2.696,"Breidholt","25",108,120353
"565",2.721,"Gardabaer","20",198,164800
"566",2.556,"Grafarholt","12",79,124168
"567",3.85,"Grafarvogur","19",94,126409
"568",3.844,"Haaleiti","18",71,139404
"569",2.877,"Haaleiti","14",119,179235
"570",3.6,"Hafnarfjordur","16",148,187996
"571",3.565,"Kopavogur","19",122,144293
"572",2.882,"Vesturbaer","99",95,122043
"573",3.56,"Breidholt","14",82,139405
"574",2.352,"Midbaer","12",120,208029
"575",2.572,"Gardabaer","18",67,125285
"576",3.416,"Gerdin","99",93,123833
"577",2.491,"Hafnarfjordur","32",75,129320
"578",2.891,"Vesturbaer","11",57,94784
"579",4.512,"Hlutlaus","17",111,164824
"580",2.399,"Hlidar","15",88,137768
"581",2.547,"Arbaer","11",114,121500
"582",3.115,"Hafnarfjordur","17",129,160269
"583",3.75,"Seltjarnarnes","11",72,207006
"584",3.452,"LaugarneshverfiVogar","8",179,224725
"585",2.601,"Hafnarfjordur","34",84,148314
"586",4.012,"Hlutlaus","12",151,243842
"587",2.828,"Breidholt","19",140,153806
"588",1.576,"Midbaer","15",135,121682
"589",2.915,"Hafnarfjordur","25",103,192271
"590",2.14,"Grafarvogur","25",93,178797
"591",2.428,"Arbaer","5",79,204608
"592",2.606,"Grafarholt","7",236,202212
"593",2.947,"Grafarvogur","10",121,234707
"594",2.853,"Grafarholt","35",83,124929
"595",3.769,"Hlutlaus","18",93,139570
"596",4.033,"Grafarvogur","24",112,185337
"597",2.629,"Gardabaer","24",97,120745
"598",2.503,"Haaleiti","30",53,97794
"599",3.801,"LaugarneshverfiVogar","99",51,135948
"600",2.403,"Midbaer","23",120,137097
"601",3.227,"Breidholt","10",136,160846
"602",2.729,"Mosfellsbaer","18",102,179613
"603",3.294,"Fossvogur","14",64,160608
"604",2.909,"Seltjarnarnes","9",85,140998
"605",3.395,"Kopavogur","4",86,121305
"606",2.034,"Haaleiti","23",186,156129
"607",3.196,"Grafarvogur","16",136,160880
"608",2.7,"Gerdin","4",70,122450
"609",2.16,"Seltjarnarnes","15",51,168670
"610",2.538,"Arbaer","16",102,187469
"611",2.745,"Haaleiti","18",100,168847
"612",3.248,"LaugarneshverfiVogar","24",80,127534
"613",3.399,"Midbaer","25",71,151298
