"nrkunna","gaedi","pref_stad","as_timi","staerd","greidslugeta"
"133",2.982,"Kópavogur","16",74,193170
"134",2.866,"Seltjarnanes","6",109,142702
"135",3.484,"Gerðin","10",140,162182
"136",2.505,"Breiðholt","x",86,131941
"137",3.683,"Breiðholt","17",127,143705
"138",2.465,"Miðbær","20",109,184630
"139",3.05,"Hlíðar","7",195,230569
"140",2.919,"Vesturbær","19",240,196086
"141",3.432,"Gerðin","x",97,121954
"142",2.932,"Laugarneshverfi/Vogar","17",153,127788
"143",3.212,"Vesturbær","19",131,152661
"144",2.712,"Kópavogur","14",84,153824
"145",1.828,"Hafnarfjörður","12",124,121680
"146",2.002,"Vesturbær","26",162,136115
"147",2.458,"Fossvogur","21",104,190385
"148",3.038,"Miðbær","15",127,162591
"149",2.528,"Seltjarnanes","34",92,129834
"150",2.882,"Hlíðar","4",53,127160
"151",4.764,"Breiðholt","8",153,249325
"152",2.644,"Vesturbær","15",228,168456
"153",2.677,"Gerðin","22",84,120177
"154",4.264,"Hafnarfjörður","31",80,126611
"155",3.002,"Mosfellsbær","15",78,197398
"156",2.188,"Breiðholt","35",88,142020
"157",2.722,"x","3",64,133828
"158",3.906,"Garðabær","x",110,131311
"159",3.587,"Mosfellsbær","28",122,148682
"160",2.725,"x","11",68,221925
"161",3.322,"Gerðin","24",81,135339
"162",2.739,"Grafarvogur","25",55,161320
"163",2.421,"Fossvogur","14",74,160563
"164",2.936,"Fossvogur","7",178,138900
"165",2.813,"Mosfellsbær","27",100,135252
"166",2.347,"Grafarvogur","26",48,91122
"167",2.86,"Miðbær","33",77,142372
"168",2.622,"Gerðin","21",177,140582
"169",2.771,"Gerðin","16",119,196304
"170",3.029,"Laugarneshverfi/Vogar","9",92,120555
"171",2.04,"Garðabær","27",140,144246
"172",2.105,"Vesturbær","4",185,148720
"173",2.986,"Vesturbær","11",262,193361
"174",2.654,"Breiðholt","11",85,153420
"175",3.573,"Fossvogur","15",70,161462
"176",2.809,"Gerðin","17",114,120918
"177",2.714,"Grafarholt","20",220,177891
"178",2.956,"Breiðholt","15",94,151886
"179",2.739,"Miðbær","19",116,155404
"180",3.993,"Mosfellsbær","20",106,127469
"181",2.708,"Fossvogur","14",83,171303
"182",3.363,"Mosfellsbær","14",89,137042
"183",2.204,"Vesturbær","11",57,146657
"184",2.022,"Mosfellsbær","14",67,126274
"185",2.96,"Kópavogur","24",125,166443
"186",2.029,"Árbær","19",103,187668
"187",2.051,"Laugarneshverfi/Vogar","20",123,128232
"188",2.943,"Hlíðar","14",53,157662
"189",2.513,"Árbær","28",133,133888
"190",2.676,"Hafnarfjörður","11",110,170876
"191",2.745,"Vesturbær","35",144,133577
"192",2.565,"Mosfellsbær","19",110,150243
"193",2.654,"Hafnarfjörður","21",100,162811
"194",2.301,"x","32",88,126704
"195",3.552,"Hafnarfjörður","18",56,170149
"196",1.899,"Grafarvogur","20",98,185262
"197",2.586,"Laugarneshverfi/Vogar","22",83,151131
"198",2.632,"Seltjarnanes","4",91,228404
"199",3.345,"Laugarneshverfi/Vogar","25",63,198592
"200",2.325,"Garðabær","9",112,138925
"201",2.311,"Grafarholt","26",69,132644
"202",3.212,"Kópavogur","16",70,134432
"203",3.16,"Breiðholt","7",105,123546
"204",3.275,"Fossvogur","17",67,151571
"205",3.926,"Grafarholt","11",37,212384
"206",3.312,"Miðbær","x",96,145466
"207",2.281,"Breiðholt","20",101,126384
"208",2.925,"Hafnarfjörður","19",86,120450
"209",3.041,"Garðabær","5",188,220764
"210",2.671,"Seltjarnanes","28",51,128129
"211",2.243,"Árbær","28",130,137123
"212",2.772,"Gerðin","13",123,143367
"213",2.39,"Miðbær","15",211,178140
"214",3.987,"Hafnarfjörður","29",104,130029
"215",2.903,"Breiðholt","20",185,155520
"216",2.568,"Hafnarfjörður","3",64,120739
"217",2.831,"Kópavogur","11",157,132530
"218",3.324,"Hlíðar","15",109,128987
"219",2.665,"Laugarneshverfi/Vogar","9",124,131065
"220",3.402,"Grafarvogur","5",90,123156
"221",2.299,"Grafarvogur","24",145,122107
"222",2.417,"Mosfellsbær","30",123,134002
"223",2.612,"Mosfellsbær","14",102,151897
"224",3.474,"Vesturbær","32",109,135677
"225",2.469,"Seltjarnanes","16",83,151417
"226",2.481,"Gerðin","21",75,147586
"227",2.963,"Árbær","18",80,156046
"228",2.655,"Garðabær","17",90,160883
"229",3.548,"Háaleiti","10",76,183013
"230",3.664,"Seltjarnanes","7",114,136813
"231",2.887,"Grafarvogur","6",116,222352
"232",3.388,"Háaleiti","21",89,144810
"233",2.232,"Vesturbær","5",108,201839
"234",3.128,"Miðbær","22",61,171250
"235",3.954,"Vesturbær","x",94,136011
"236",3.356,"Fossvogur","x",92,141576
"237",2.636,"Vesturbær","12",124,137465
"238",3.162,"Garðabær","16",74,189696
"239",2.431,"Garðabær","x",94,146736
"240",2.396,"Vesturbær","27",158,121047
"241",2.402,"Miðbær","24",73,135685
"242",2.77,"Kópavogur","18",97,123096
"243",2.119,"Mosfellsbær","31",92,129640
"244",1.931,"Hlíðar","7",62,76580
"245",3.275,"Hafnarfjörður","20",104,163415
"246",2.721,"x","12",117,158464
"247",3.039,"Hlíðar","22",166,198199
"248",3.274,"Grafarholt","12",61,233568
"249",2.836,"Breiðholt","21",110,179610
"250",2.615,"Hafnarfjörður","20",83,178311
"251",3.087,"Fossvogur","15",102,160020
"252",3.574,"Háaleiti","33",76,145381
"253",3.526,"Hlíðar","12",59,137617
"254",3.457,"Hafnarfjörður","15",136,168879
"255",3.152,"Árbær","33",65,140528
"256",2.88,"Fossvogur","25",129,127661
"257",2.1,"Vesturbær","8",130,141080
"258",2.45,"Kópavogur","20",96,168052
"259",2.666,"x","19",220,175269
"260",2.809,"Vesturbær","19",57,186053
"261",3.533,"Hlíðar","30",54,133326
"262",2.065,"Miðbær","15",142,144018
"263",4.006,"Laugarneshverfi/Vogar","6",179,281353
"264",3.499,"Grafarvogur","16",113,131642
"265",2.341,"Seltjarnanes","31",52,141538
"266",3.27,"Garðabær","25",130,154963
"267",3.334,"Árbær","9",250,305923
"268",3.019,"x","33",88,126189
"269",2.535,"Hlíðar","8",131,122694
"270",2.503,"Árbær","28",174,143946
"271",2.778,"Árbær","6",68,139526
"272",2.549,"Laugarneshverfi/Vogar","29",62,138277
"273",2.741,"Hafnarfjörður","17",179,140491
"274",2.332,"Garðabær","25",102,125779
"275",3.018,"Árbær","16",155,185441
"276",2.75,"Háaleiti","16",83,180423
"277",3.921,"Árbær","26",106,122729
"278",4.226,"Miðbær","21",84,136568
"279",2.948,"Fossvogur","6",121,122835
"280",3.045,"Seltjarnanes","23",60,146279
"281",3.077,"Háaleiti","25",68,143186
"282",2.902,"Seltjarnanes","x",78,149953
"283",1.836,"Hlíðar","20",64,114167
"284",2.662,"Árbær","x",161,127583
"285",3.588,"Garðabær","22",130,158527
"286",3.187,"x","x",77,144749
"287",2.672,"Laugarneshverfi/Vogar","x",89,134775
"288",1.956,"Gerðin","13",127,145145
"289",2.117,"Grafarholt","28",142,136340
"290",3.55,"x","9",192,234068
"291",3.277,"Vesturbær","28",96,142203
"292",3.046,"Hafnarfjörður","11",100,153730
"293",3.171,"Garðabær","16",95,159834
"294",3,"Vesturbær","21",68,185762
"295",3.031,"Árbær","24",121,139389
"296",2.756,"Grafarvogur","24",126,155836
"297",2.651,"Hafnarfjörður","14",79,121018
"298",3.993,"Garðabær","18",80,178395
"299",3.885,"Seltjarnanes","8",74,231727
"300",4.182,"Grafarholt","19",58,153370
"301",4.284,"Hafnarfjörður","12",243,376311
"302",3.117,"Fossvogur","9",189,234419
"303",3.058,"Miðbær","7",75,204857
"304",3.08,"Mosfellsbær","20",87,150887
"305",4.098,"Garðabær","5",93,147591
"306",3.046,"Breiðholt","5",206,248239
"307",2.014,"Miðbær","20",106,158768
"308",2.548,"Grafarvogur","17",216,173717
"309",3.466,"Laugarneshverfi/Vogar","3",54,123674
"310",2.117,"Garðabær","33",106,141499
"311",2.369,"Garðabær","20",63,146578
"312",3.344,"Háaleiti","29",73,138336
"313",4.327,"Fossvogur","5",139,218659
"314",2.562,"Grafarholt","32",186,139350
"315",2.374,"Mosfellsbær","18",90,126015
"316",3.996,"x","19",86,199849
"317",3.298,"Fossvogur","29",104,127150
"318",4.631,"Háaleiti","19",120,191157
"319",3.026,"Vesturbær","11",94,226117
"320",2.724,"Árbær","12",72,240345
"321",2.766,"x","6",69,202121
"322",2.606,"Breiðholt","20",80,169416
"323",3.158,"Laugarneshverfi/Vogar","11",162,199375
"324",3.014,"Fossvogur","27",90,135833
"325",2.76,"Garðabær","11",134,224243
"326",3.228,"Mosfellsbær","34",101,122622
"327",2.219,"Háaleiti","7",119,221099
"328",2.253,"Gerðin","8",67,130452
"329",2.92,"Mosfellsbær","19",194,158734
"330",3.143,"Grafarholt","19",94,122069
"331",3.062,"Kópavogur","7",83,122003
"332",2.615,"Laugarneshverfi/Vogar","16",86,182046
"333",3.025,"Garðabær","23",101,155123
"334",3.115,"Seltjarnanes","19",152,175365
"335",2.7,"Miðbær","5",103,221736
"336",3.864,"Grafarholt","15",136,167209
"337",3.182,"Miðbær","20",97,121483
"338",2.935,"Gerðin","13",75,131281
"339",2.769,"Árbær","x",170,142333
"340",3.677,"Miðbær","29",65,122519
"341",2.434,"Hlíðar","17",92,181147
"342",2.998,"Miðbær","x",103,128576
"343",2.225,"Garðabær","20",123,168998
"344",3.572,"Fossvogur","10",185,219281
"345",3.136,"Hafnarfjörður","7",86,136282
"346",3.45,"x","21",155,181272
"347",3.809,"Hlíðar","31",61,135585
"348",4.083,"x","16",101,160162
"349",3.512,"Hlíðar","x",65,149977
"350",2.568,"Hafnarfjörður","14",93,185480
"351",3.379,"x","4",225,272194
"352",2.923,"Vesturbær","18",87,171665
"353",3.606,"Mosfellsbær","12",216,249345
"354",3.672,"Fossvogur","15",53,159812
"355",3.001,"Hafnarfjörður","12",154,187954
"356",3.26,"Háaleiti","20",96,154296
"357",2.448,"Vesturbær","7",123,132040
"358",3.145,"Háaleiti","17",74,151204
"359",3.168,"Árbær","10",180,210036
"360",2.745,"Mosfellsbær","23",212,159513
"361",3.723,"Seltjarnanes","11",74,206843
"362",3.178,"Árbær","x",99,127636
"363",3.601,"x","22",164,197306
"364",1.764,"Kópavogur","13",70,51932
"365",2.571,"Seltjarnanes","23",81,174425
"366",3.362,"Grafarvogur","18",106,127196
"367",3.046,"Fossvogur","x",77,129630
"368",2.844,"Háaleiti","20",101,165867
"369",2.496,"Kópavogur","15",95,176756
"370",2.803,"Árbær","17",146,156193
"371",2.9,"Breiðholt","18",86,123942
"372",3.375,"Fossvogur","7",130,143116
"373",3.649,"Garðabær","17",104,130773
"374",2.61,"Gerðin","23",162,122319
"375",3.109,"Fossvogur","19",75,189912
"376",3.833,"x","19",114,130541
"377",2.698,"x","35",63,142957
"378",2.897,"Árbær","21",77,150517
"379",2.061,"Breiðholt","5",72,147221
"380",3.051,"Laugarneshverfi/Vogar","30",120,140652
"381",2.545,"Miðbær","30",36,85692
"382",3.333,"Laugarneshverfi/Vogar","22",85,138065
"383",2.602,"Hafnarfjörður","14",96,153385
"384",2.104,"Grafarvogur","11",110,174163
"385",2.448,"Fossvogur","33",57,145445
"386",3.039,"Garðabær","16",73,134260
"387",1.863,"Mosfellsbær","32",82,78629
"388",2.819,"Fossvogur","9",92,120773
"389",3.701,"Mosfellsbær","3",97,121195
"390",3.333,"Garðabær","12",136,150995
"391",2.747,"Miðbær","20",122,123169
"392",3.574,"Háaleiti","20",109,132112
"393",3.76,"Hafnarfjörður","10",65,215511
"394",2.333,"Hlíðar","18",82,173709
"395",3.028,"Kópavogur","35",78,132765
"396",3.81,"x","34",113,136828
"397",2.54,"Garðabær","22",80,170225
"398",3.61,"Garðabær","34",51,109824
"399",3.056,"Mosfellsbær","31",101,121713
"400",3.403,"Hafnarfjörður","x",110,132531
"401",2.801,"Gerðin","21",59,132932
"402",3.444,"Grafarholt","20",52,199232
"403",4.177,"Árbær","15",102,159204
"404",2.811,"Hafnarfjörður","9",69,146351
"405",2.085,"Miðbær","11",109,125381
"406",3.041,"Miðbær","31",111,137060
"407",1.888,"Fossvogur","22",166,124361
"408",2.533,"Laugarneshverfi/Vogar","7",87,125273
"409",3.79,"Árbær","35",119,144590
"410",3.839,"Miðbær","17",69,188446
"411",2.476,"Laugarneshverfi/Vogar","19",59,158916
"412",3.594,"Grafarholt","8",173,210938
"413",3.01,"Garðabær","24",84,192979
"414",2.66,"Grafarvogur","16",111,163871
"415",2.242,"Breiðholt","8",98,120316
"416",3.299,"Breiðholt","14",137,162137
"417",2.625,"Kópavogur","17",142,150549
"418",2.318,"Seltjarnanes","13",111,170722
"419",3.737,"Miðbær","13",96,139207
"420",3.087,"Garðabær","x",61,140085
"421",3.308,"x","11",143,176721
"422",2.623,"Hafnarfjörður","14",216,182229
"423",2.384,"Vesturbær","12",58,177886
"424",2.508,"Gerðin","x",93,139623
"425",3.298,"x","10",122,140490
"426",3.034,"Háaleiti","25",58,155310
"427",3.178,"Háaleiti","10",144,163130
"428",3.061,"Laugarneshverfi/Vogar","15",115,140647
"429",2.503,"Árbær","x",181,144920
"430",2.003,"Miðbær","9",129,126225
"431",3.249,"Grafarvogur","20",72,172267
"432",2.979,"Laugarneshverfi/Vogar","25",91,141333
"433",2.741,"Fossvogur","26",152,142682
"434",3.404,"Kópavogur","9",262,315853
"435",3.131,"Garðabær","10",88,219968
"436",2.335,"Laugarneshverfi/Vogar","14",78,152942
"437",2.563,"Hlíðar","33",145,122830
"438",2.595,"Breiðholt","4",246,214488
"439",2.537,"Grafarvogur","7",256,212646
"440",3.667,"Vesturbær","6",160,201180
"441",2.875,"Kópavogur","18",97,165923
"442",2.638,"Háaleiti","17",101,181661
"443",2.714,"Kópavogur","22",108,166203
"444",3.537,"Fossvogur","34",121,136052
"445",3.853,"Miðbær","8",77,241467
"446",2.09,"Háaleiti","13",54,139038
"447",3.995,"Árbær","18",63,161275
"448",3.647,"Garðabær","24",152,180755
"449",1.764,"Hlíðar","23",87,125771
"450",2.532,"Mosfellsbær","20",104,122034
"451",3.091,"Vesturbær","7",87,140509
"452",3.502,"Vesturbær","5",82,122317
"453",2.517,"Miðbær","16",120,183529
"454",2.733,"Mosfellsbær","8",265,225086
"455",2.07,"Breiðholt","8",56,204086
"456",3.802,"Hafnarfjörður","3",89,124886
"457",3.507,"Seltjarnanes","19",90,130667
"458",1.78,"Garðabær","7",122,120202
"459",2.674,"Mosfellsbær","9",308,240860
"460",1.736,"Garðabær","22",62,102858
"461",3.644,"Garðabær","10",276,329575
"462",2.944,"Grafarholt","28",147,134733
"463",1.855,"Hafnarfjörður","33",123,92649
"464",4.175,"Grafarvogur","17",95,152363
"465",3.138,"Kópavogur","11",179,216415
"466",3.203,"Háaleiti","4",79,137764
"467",1.805,"Hafnarfjörður","x",48,99162
"468",2.347,"x","19",70,129339
"469",2.518,"Grafarholt","28",134,140781
"470",3.206,"Fossvogur","25",97,140868
"471",3.293,"Hlíðar","22",159,194069
"472",3.688,"Hlíðar","35",93,124287
"473",3.908,"Grafarvogur","4",214,256791
"474",2.804,"Háaleiti","20",78,172223
"475",3.036,"Breiðholt","12",82,246521
"476",2.723,"Seltjarnanes","7",144,120633
"477",3.311,"x","12",169,200862
"478",2.509,"Grafarholt","23",71,193534
"479",4.531,"Gerðin","25",85,135395
"480",1.946,"Breiðholt","3",83,126521
"481",2.555,"Vesturbær","27",134,122040
"482",3.948,"Seltjarnanes","21",77,176817
"483",3.657,"Árbær","19",69,154177
"484",2.866,"Breiðholt","19",73,148361
"485",3.914,"Fossvogur","11",84,208942
"486",2.047,"Miðbær","10",97,122946
"487",2.996,"Seltjarnanes","8",93,233179
"488",3.835,"Kópavogur","24",74,123078
"489",3.691,"Hafnarfjörður","27",100,122632
"490",3.516,"Hafnarfjörður","21",136,158528
"491",2.923,"Háaleiti","17",136,166624
"492",1.962,"Hafnarfjörður","x",68,125643
"493",3.442,"Háaleiti","21",79,142778
"494",3.346,"Kópavogur","23",73,124517
"495",2.483,"Vesturbær","14",91,182807
"496",3.636,"Kópavogur","3",55,125015
"497",3.653,"x","24",125,148615
"498",3.246,"Kópavogur","26",51,119257
"499",2.677,"Mosfellsbær","x",58,122166
"500",3.157,"Laugarneshverfi/Vogar","34",115,141352
"501",3.642,"Hafnarfjörður","5",196,236105
"502",2.686,"Grafarholt","8",58,200509
"503",3.286,"Seltjarnanes","20",153,174795
"504",2.207,"x","13",96,138800
"505",3.485,"Vesturbær","16",78,136565
"506",2.821,"x","25",72,150718
"507",2.862,"Mosfellsbær","19",104,196693
"508",2.501,"Vesturbær","27",183,138319
"509",2.981,"Fossvogur","6",116,236303
"510",4.195,"Árbær","12",170,271469
"511",3.03,"Miðbær","7",67,122618
"512",2.499,"Gerðin","9",115,210198
"513",1.948,"Mosfellsbær","7",140,200154
"514",2.329,"Hlíðar","14",115,120861
"515",2.431,"Laugarneshverfi/Vogar","15",90,181468
"516",3.342,"Háaleiti","11",80,179863
"517",2.948,"Breiðholt","12",101,213036
"518",3.416,"Miðbær","23",140,170293
"519",3.342,"Miðbær","19",76,152924
"520",2.767,"Hafnarfjörður","14",91,173485
"521",2.229,"Seltjarnanes","23",186,150991
"522",2.502,"x","33",103,145034
"523",3.141,"x","32",97,133334
"524",3.501,"Vesturbær","10",185,223393
"525",2.598,"Seltjarnanes","8",120,207755
"526",2.878,"Grafarvogur","19",65,173235
"527",2.512,"Grafarvogur","16",140,147455
"528",3.245,"Miðbær","4",237,283542
"529",2.451,"Árbær","10",104,121469
"530",2.656,"Miðbær","8",86,203300
"531",2.875,"x","16",109,165087
"532",3.131,"Seltjarnanes","4",196,233943
"533",3.776,"Háaleiti","20",82,165764
"534",3.124,"Laugarneshverfi/Vogar","15",88,128601
"535",3.844,"Árbær","18",100,157511
"536",2.282,"Garðabær","24",138,151085
"537",2.775,"Vesturbær","25",86,151716
"538",2.764,"Mosfellsbær","15",90,167215
"539",2.41,"Hlíðar","23",96,166723
"540",2.059,"Miðbær","18",90,191561
"541",2.757,"Miðbær","3",146,122600
"542",1.878,"x","30",86,111909
"543",2.641,"Miðbær","20",198,157779
"544",3.851,"Hafnarfjörður","24",109,132891
"545",2.92,"Breiðholt","17",74,154686
"546",2.691,"Hafnarfjörður","3",121,139280
"547",2.612,"Mosfellsbær","18",172,144116
"548",3.364,"Mosfellsbær","18",81,189872
"549",3.588,"Árbær","8",187,205953
"550",3.045,"Grafarholt","19",93,154200
"551",3.643,"Miðbær","5",70,214165
"552",2.136,"Grafarholt","31",74,125559
"553",2.91,"Mosfellsbær","18",129,126733
"554",3.278,"Grafarholt","25",78,170550
"555",2.168,"Kópavogur","25",70,141609
"556",3.8,"x","28",110,128384
"557",3.12,"Miðbær","3",114,145298
"558",3.582,"Árbær","25",106,128993
"559",2.819,"Gerðin","32",145,131934
"560",2.929,"x","18",59,168746
"561",3.241,"Garðabær","6",41,209399
"562",2.789,"Grafarholt","14",70,177017
"563",3.123,"Fossvogur","10",172,206922
"564",2.696,"Breiðholt","25",108,120353
"565",2.721,"Garðabær","20",198,164800
"566",2.556,"Grafarholt","12",79,124168
"567",3.85,"Grafarvogur","19",94,126409
"568",3.844,"Háaleiti","18",71,139404
"569",2.877,"Háaleiti","14",119,179235
"570",3.6,"Hafnarfjörður","16",148,187996
"571",3.565,"Kópavogur","19",122,144293
"572",2.882,"Vesturbær","x",95,122043
"573",3.56,"Breiðholt","14",82,139405
"574",2.352,"Miðbær","12",120,208029
"575",2.572,"Garðabær","18",67,125285
"576",3.416,"Gerðin","x",93,123833
"577",2.491,"Hafnarfjörður","32",75,129320
"578",2.891,"Vesturbær","11",57,94784
"579",4.512,"x","17",111,164824
"580",2.399,"Hlíðar","15",88,137768
"581",2.547,"Árbær","11",114,121500
"582",3.115,"Hafnarfjörður","17",129,160269
"583",3.75,"Seltjarnanes","11",72,207006
"584",3.452,"Laugarneshverfi/Vogar","8",179,224725
"585",2.601,"Hafnarfjörður","34",84,148314
"586",4.012,"x","12",151,243842
"587",2.828,"Breiðholt","19",140,153806
"588",1.576,"Miðbær","15",135,121682
"589",2.915,"Hafnarfjörður","25",103,192271
"590",2.14,"Grafarvogur","25",93,178797
"591",2.428,"Árbær","5",79,204608
"592",2.606,"Grafarholt","7",236,202212
"593",2.947,"Grafarvogur","10",121,234707
"594",2.853,"Grafarholt","35",83,124929
"595",3.769,"x","18",93,139570
"596",4.033,"Grafarvogur","24",112,185337
"597",2.629,"Garðabær","24",97,120745
"598",2.503,"Háaleiti","30",53,97794
"599",3.801,"Laugarneshverfi/Vogar","x",51,135948
"600",2.403,"Miðbær","23",120,137097
"601",3.227,"Breiðholt","10",136,160846
"602",2.729,"Mosfellsbær","18",102,179613
"603",3.294,"Fossvogur","14",64,160608
"604",2.909,"Seltjarnanes","9",85,140998
"605",3.395,"Kópavogur","4",86,121305
"606",2.034,"Háaleiti","23",186,156129
"607",3.196,"Grafarvogur","16",136,160880
"608",2.7,"Gerðin","4",70,122450
"609",2.16,"Seltjarnanes","15",51,168670
"610",2.538,"Árbær","16",102,187469
"611",2.745,"Háaleiti","18",100,168847
"612",3.248,"Laugarneshverfi/Vogar","24",80,127534
"613",3.399,"Miðbær","25",71,151298
"614",2.411,"Gerðin","23",107,195083
"615",2.831,"Garðabær","5",100,140617
"616",2.972,"Laugarneshverfi/Vogar","19",74,123805
"617",3.144,"Laugarneshverfi/Vogar","20",131,153335
"618",4.109,"Grafarvogur","9",306,490736
"619",2.094,"Grafarvogur","28",54,129182
"620",2.543,"Miðbær","12",106,214157
"621",3.538,"Seltjarnanes","15",93,154134
"622",2.679,"Grafarvogur","27",71,144242
"623",2.676,"Hafnarfjörður","11",251,201733
"624",3.038,"Breiðholt","14",72,199124
"625",3.55,"Vesturbær","24",81,190616
"626",1.969,"Árbær","10",111,227039
