            "nrkunna"	"gaedi"	"staerd"	"greidslugeta"
            147	2.458	104	190385
            148	3.038	127	162591
            149	2.528	92	129834
            150	2.882	53	127160
            151	4.764	153	249325
            152	2.644	228	168456
            153	2.677	84	120177
            154	4.264	80	126611
            155	3.002	78	197398
            156	2.188	88	142020
            157	2.722	64	133828
            158	3.906	110	131311
            159	3.587	122	148682
            160	2.725	68	221925
            161	3.322	81	135339
            162	2.739	55	161320
            163	2.421	74	160563
            164	2.936	178	138900
            165	2.813	100	135252
            166	2.347	48	91122
            167	2.86	77	142372
            168	2.622	177	140582
            169	2.771	119	196304
            170	3.029	92	120555
            171	2.04	140	144246
            172	2.105	185	148720
            173	2.986	262	193361
            174	2.654	85	153420
            175	3.573	70	161462
            176	2.809	114	120918
            177	2.714	220	177891
            178	2.956	94	151886
            179	2.739	116	155404
            180	3.993	106	127469
            181	2.708	83	171303
            182	3.363	89	137042
            183	2.204	57	146657
            184	2.022	67	126274
            185	2.96	125	166443
            186	2.029	103	187668
            187	2.051	123	128232
            188	2.943	53	157662
            189	2.513	133	133888
            190	2.676	110	170876
            191	2.745	144	133577
            192	2.565	110	150243
            193	2.654	100	162811
            194	2.301	88	126704
            195	3.552	56	170149
            196	1.899	98	185262
            197	2.586	83	151131
            198	2.632	91	228404
            199	3.345	63	198592
            200	2.325	112	138925
            201	2.311	69	132644
            202	3.212	70	134432
            203	3.16	105	123546
            204	3.275	67	151571
            205	3.926	37	212384
            206	3.312	96	145466
            207	2.281	101	126384
            208	2.925	86	120450
            209	3.041	188	220764
            210	2.671	51	128129
            211	2.243	130	137123
            212	2.772	123	143367
            213	2.39	211	178140
            214	3.987	104	130029
            215	2.903	185	155520
            216	2.568	64	120739
            217	2.831	157	132530
            218	3.324	109	128987
            219	2.665	124	131065
            220	3.402	90	123156
            221	2.299	145	122107
            222	2.417	123	134002
            223	2.612	102	151897
            224	3.474	109	135677
            225	2.469	83	151417
            226	2.481	75	147586
            227	2.963	80	156046
            228	2.655	90	160883
            229	3.548	76	183013
            230	3.664	114	136813
            231	2.887	116	222352
            232	3.388	89	144810
            233	2.232	108	201839
            234	3.128	61	171250
            235	3.954	94	136011
            236	3.356	92	141576
            237	2.636	124	137465
            238	3.162	74	189696
            239	2.431	94	146736
            240	2.396	158	121047
            241	2.402	73	135685
            242	2.77	97	123096
            243	2.119	92	129640
            244	1.931	62	76580
            245	3.275	104	163415
            246	2.721	117	158464
            247	3.039	166	198199
            248	3.274	61	233568
            249	2.836	110	179610
            250	2.615	83	178311
            251	3.087	102	160020
            252	3.574	76	145381
            253	3.526	59	137617
            254	3.457	136	168879
            255	3.152	65	140528
            256	2.88	129	127661
            257	2.1	130	141080
            258	2.45	96	168052
            259	2.666	220	175269
            260	2.809	57	186053
            261	3.533	54	133326
            262	2.065	142	144018
            263	4.006	179	281353
            264	3.499	113	131642
            265	2.341	52	141538
            266	3.27	130	154963
            267	3.334	250	305923
            268	3.019	88	126189
            269	2.535	131	122694
            270	2.503	174	143946
            271	2.778	68	139526
            272	2.549	62	138277
            273	2.741	179	140491
            274	2.332	102	125779
            275	3.018	155	185441
            276	2.75	83	180423
            277	3.921	106	122729
            278	4.226	84	136568
            279	2.948	121	122835
            280	3.045	60	146279
            281	3.077	68	143186
            282	2.902	78	149953
            283	1.836	64	114167
            284	2.662	161	127583
            285	3.588	130	158527
            286	3.187	77	144749
            287	2.672	89	134775
            288	1.956	127	145145
            289	2.117	142	136340
            290	3.55	192	234068
            291	3.277	96	142203
            292	3.046	100	153730
            293	3.171	95	159834
            294	3	68	185762
            295	3.031	121	139389
            296	2.756	126	155836
            297	2.651	79	121018
            298	3.993	80	178395
            299	3.885	74	231727
            300	4.182	58	153370
            301	4.284	243	376311
            302	3.117	189	234419
            303	3.058	75	204857
            304	3.08	87	150887
            305	4.098	93	147591
            306	3.046	206	248239
            307	2.014	106	158768
            308	2.548	216	173717
            309	3.466	54	123674
            310	2.117	106	141499
            311	2.369	63	146578
            312	3.344	73	138336
            313	4.327	139	218659
            314	2.562	186	139350
            315	2.374	90	126015
            316	3.996	86	199849
            317	3.298	104	127150
            318	4.631	120	191157
            319	3.026	94	226117
            320	2.724	72	240345
            321	2.766	69	202121
            322	2.606	80	169416
            323	3.158	162	199375
            324	3.014	90	135833
            325	2.76	134	224243
            326	3.228	101	122622
            327	2.219	119	221099
            328	2.253	67	130452
            329	2.92	194	158734
            330	3.143	94	122069
            331	3.062	83	122003
            332	2.615	86	182046
            333	3.025	101	155123
            334	3.115	152	175365
            335	2.7	103	221736
            336	3.864	136	167209
            337	3.182	97	121483
            338	2.935	75	131281
            339	2.769	170	142333
            340	3.677	65	122519
            341	2.434	92	181147
            342	2.998	103	128576
            343	2.225	123	168998
            344	3.572	185	219281
            345	3.136	86	136282
            346	3.45	155	181272
            347	3.809	61	135585
            348	4.083	101	160162
            349	3.512	65	149977
            350	2.568	93	185480
            351	3.379	225	272194
            352	2.923	87	171665
            353	3.606	216	249345
            354	3.672	53	159812
            355	3.001	154	187954
            356	3.26	96	154296
            357	2.448	123	132040
            358	3.145	74	151204
            359	3.168	180	210036
            360	2.745	212	159513
            361	3.723	74	206843
            362	3.178	99	127636
            363	3.601	164	197306
            364	1.764	70	51932
            365	2.571	81	174425
            366	3.362	106	127196
            367	3.046	77	129630
            368	2.844	101	165867
            369	2.496	95	176756
            370	2.803	146	156193
            371	2.9	86	123942
            372	3.375	130	143116
            373	3.649	104	130773
            374	2.61	162	122319
            375	3.109	75	189912
            376	3.833	114	130541
            377	2.698	63	142957
            378	2.897	77	150517
            379	2.061	72	147221
            380	3.051	120	140652
            381	2.545	36	85692
            382	3.333	85	138065
            383	2.602	96	153385
            384	2.104	110	174163
            385	2.448	57	145445
            386	3.039	73	134260
            387	1.863	82	78629
            388	2.819	92	120773
            389	3.701	97	121195
            390	3.333	136	150995
            391	2.747	122	123169
            392	3.574	109	132112
            393	3.76	65	215511
            394	2.333	82	173709
            395	3.028	78	132765
            396	3.81	113	136828
            397	2.54	80	170225
            398	3.61	51	109824
            399	3.056	101	121713
            400	3.403	110	132531
            401	2.801	59	132932
            402	3.444	52	199232
            403	4.177	102	159204
            404	2.811	69	146351
            405	2.085	109	125381
            406	3.041	111	137060
            407	1.888	166	124361
            408	2.533	87	125273
            409	3.79	119	144590
            410	3.839	69	188446
            411	2.476	59	158916
            412	3.594	173	210938
            413	3.01	84	192979
            414	2.66	111	163871
            415	2.242	98	120316
            416	3.299	137	162137
            417	2.625	142	150549
            418	2.318	111	170722
            419	3.737	96	139207
            420	3.087	61	140085
            421	3.308	143	176721
            422	2.623	216	182229
            423	2.384	58	177886
            424	2.508	93	139623
            425	3.298	122	140490
            426	3.034	58	155310
            427	3.178	144	163130
            428	3.061	115	140647
            429	2.503	181	144920
            430	2.003	129	126225
            431	3.249	72	172267
            432	2.979	91	141333
            433	2.741	152	142682
            434	3.404	262	315853
            435	3.131	88	219968
            436	2.335	78	152942
            437	2.563	145	122830
            438	2.595	246	214488
            439	2.537	256	212646
            440	3.667	160	201180
            441	2.875	97	165923
            442	2.638	101	181661
            443	2.714	108	166203
            444	3.537	121	136052
            445	3.853	77	241467
            446	2.09	54	139038
            447	3.995	63	161275
            448	3.647	152	180755
            449	1.764	87	125771
            450	2.532	104	122034
            451	3.091	87	140509
            452	3.502	82	122317
            453	2.517	120	183529
            454	2.733	265	225086
            455	2.07	56	204086
            456	3.802	89	124886
            457	3.507	90	130667
            458	1.78	122	120202
            459	2.674	308	240860
            460	1.736	62	102858
            461	3.644	276	329575
            462	2.944	147	134733
            463	1.855	123	92649
            464	4.175	95	152363
            465	3.138	179	216415
            466	3.203	79	137764
            467	1.805	48	99162
            468	2.347	70	129339
            469	2.518	134	140781
            470	3.206	97	140868
            471	3.293	159	194069
            472	3.688	93	124287
            473	3.908	214	256791
            474	2.804	78	172223
            475	3.036	82	246521
            476	2.723	144	120633
            477	3.311	169	200862
            478	2.509	71	193534
            479	4.531	85	135395
            480	1.946	83	126521
            481	2.555	134	122040
            482	3.948	77	176817
            483	3.657	69	154177
            484	2.866	73	148361
            485	3.914	84	208942
            486	2.047	97	122946
            487	2.996	93	233179
            488	3.835	74	123078
            489	3.691	100	122632
            490	3.516	136	158528
            491	2.923	136	166624
            492	1.962	68	125643
            493	3.442	79	142778
            494	3.346	73	124517
            495	2.483	91	182807
            496	3.636	55	125015
            497	3.653	125	148615
            498	3.246	51	119257
            499	2.677	58	122166
            500	3.157	115	141352
            501	3.642	196	236105
            502	2.686	58	200509
            503	3.286	153	174795
            504	2.207	96	138800
            505	3.485	78	136565
            506	2.821	72	150718
            507	2.862	104	196693
            508	2.501	183	138319
            509	2.981	116	236303
            510	4.195	170	271469
            511	3.03	67	122618
            512	2.499	115	210198
            513	1.948	140	200154
            514	2.329	115	120861
            515	2.431	90	181468
            516	3.342	80	179863
            517	2.948	101	213036
            518	3.416	140	170293
            519	3.342	76	152924
            520	2.767	91	173485
            521	2.229	186	150991
            522	2.502	103	145034
            523	3.141	97	133334
            524	3.501	185	223393
            525	2.598	120	207755
            526	2.878	65	173235
            527	2.512	140	147455
            528	3.245	237	283542
            529	2.451	104	121469
            530	2.656	86	203300
            531	2.875	109	165087
            532	3.131	196	233943
            533	3.776	82	165764
            534	3.124	88	128601
            535	3.844	100	157511
            536	2.282	138	151085
            537	2.775	86	151716
            538	2.764	90	167215
            539	2.41	96	166723
            540	2.059	90	191561
            541	2.757	146	122600
            542	1.878	86	111909
            543	2.641	198	157779
            544	3.851	109	132891
            545	2.92	74	154686
            546	2.691	121	139280
            547	2.612	172	144116
            548	3.364	81	189872
            549	3.588	187	205953
            550	3.045	93	154200
            551	3.643	70	214165
            552	2.136	74	125559
            553	2.91	129	126733
            554	3.278	78	170550
            555	2.168	70	141609
            556	3.8	110	128384
            557	3.12	114	145298
            558	3.582	106	128993
            559	2.819	145	131934
            560	2.929	59	168746
            561	3.241	41	209399
            562	2.789	70	177017
            563	3.123	172	206922
            564	2.696	108	120353
            565	2.721	198	164800
            566	2.556	79	124168
            567	3.85	94	126409
            568	3.844	71	139404
            569	2.877	119	179235
            570	3.6	148	187996
            571	3.565	122	144293
            572	2.882	95	122043
            573	3.56	82	139405
            574	2.352	120	208029
            575	2.572	67	125285
            576	3.416	93	123833
            577	2.491	75	129320
            578	2.891	57	94784
            579	4.512	111	164824
            580	2.399	88	137768
            581	2.547	114	121500
            582	3.115	129	160269
            583	3.75	72	207006
            584	3.452	179	224725
            585	2.601	84	148314
            586	4.012	151	243842
            587	2.828	140	153806
            588	1.576	135	121682
            589	2.915	103	192271
            590	2.14	93	178797
            591	2.428	79	204608
            592	2.606	236	202212
            593	2.947	121	234707
            594	2.853	83	124929
            595	3.769	93	139570
            596	4.033	112	185337
            597	2.629	97	120745
            598	2.503	53	97794
            599	3.801	51	135948
            600	2.403	120	137097
            601	3.227	136	160846
            602	2.729	102	179613
            603	3.294	64	160608
            604	2.909	85	140998
            605	3.395	86	121305
            606	2.034	186	156129
            607	3.196	136	160880
            608	2.7	70	122450
            609	2.16	51	168670
            610	2.538	102	187469
            611	2.745	100	168847
            612	3.248	80	127534
            613	3.399	71	151298
            614	2.411	107	195083
            615	2.831	100	140617
            616	2.972	74	123805
            617	3.144	131	153335
            618	4.109	306	490736
            619	2.094	54	129182
            620	2.543	106	214157
            621	3.538	93	154134
            622	2.679	71	144242
            623	2.676	251	201733
            624	3.038	72	199124
            625	3.55	81	190616
            626	1.969	111	227039
            627	1.946	156	210150
            628	2.646	68	129810
            629	3.712	91	120966
            630	3.796	100	124173
            631	2.548	129	135243
            632	3.219	82	120099
            633	2.549	50	157107
            634	3.877	56	184088
            635	3.029	40	133353
            636	2.938	105	125278
            637	2.929	48	153651
            638	2.665	113	150287
            639	3.751	147	182218
            640	4.544	81	128208
            641	2.939	125	153527
            642	2.956	102	179256
            643	2.775	151	121314
            644	3.673	114	133371
            645	2.941	78	186615
            646	2.41	125	171014
            647	4.776	91	150619
            648	3.222	109	131279
            649	3.485	53	128944
            650	2.899	102	166322
            651	2.315	96	177669
            652	2.384	68	171422
            653	2.684	66	145208
            654	2.153	100	188250
            655	2.804	93	127567
            656	4.006	110	182024
            657	2.15	91	149787
            658	3.029	250	311806
            659	2.643	161	124332
            660	3.023	97	122887
            661	3.302	75	125915
            662	2.17	86	155120
            663	3.057	128	160179
            664	3.815	147	184680
            665	3.332	119	139905
            666	3.401	140	172027
            667	2.309	73	111586
            668	2.951	75	214724
            669	3.306	74	212455
            670	2.316	86	185270
            671	3.046	104	127250
            672	3.077	97	145361
            673	2.772	103	137198
            674	2.401	117	126212
            675	3.743	111	135028
            676	3.042	87	133051
            677	3.131	101	122367
            678	2.372	78	160846
            679	2.971	70	127222
            680	2.217	106	131478
            681	2.637	134	143758
            682	2.169	104	137264
            683	4.246	120	182270
            684	3.343	125	148111
            685	2.984	73	155028
            686	2.607	106	199205
            687	2.272	183	141614
            688	3.089	93	140097
            689	2.667	136	140443
            690	3.016	125	144472
            691	3.379	32	141757
            692	2.686	100	129208
            693	3.532	125	158911
            694	3.391	108	129094
            695	3.485	47	209524
            696	1.729	133	133072
            697	2.124	102	192393
            698	3.949	55	164993
            699	2.818	111	185123
            700	3.204	78	162954
            701	3.174	100	129183
            702	2.656	98	195533
            703	2.891	82	145695
            704	3.239	92	129634
            705	2.721	84	153234
            706	2.931	83	149161
            707	3.199	130	143859
            708	3.46	102	124642
            709	3.118	82	138771
            710	4.166	150	245135
            711	2.686	92	134279
            712	3.229	74	128641
            713	3.137	138	172617
            714	2.423	77	149161
            715	1.949	102	124100
            716	2.301	165	133120
            717	3.076	54	146363
            718	2.801	109	121825
            719	3.248	111	135221
            720	3.024	95	148882
            721	2.398	114	131052
            722	4.215	62	134568
            723	3.793	54	231988
            724	2.581	92	146787
            725	2.496	213	167795
            726	3.689	93	141595
            727	2.805	104	188025
            728	2.202	171	137662
            729	2.299	36	77862
            730	2.946	120	124178
            731	2.313	93	147441
            732	3.391	82	121735
            733	2.959	116	145516
            734	2.684	83	128513
            735	3.682	58	188419
            736	3.135	93	241249
            737	3.114	102	141813
            738	2.398	133	223391
            739	1.737	172	127446
            740	2.943	93	159779
            741	2.691	128	148491
            742	2.127	75	141765
            743	2.614	116	201713
            744	2.95	97	134354
            745	3.063	102	129130
            746	2.636	93	131791
            747	2.826	96	167892
            748	2.923	84	152775
            749	3.375	136	162098
            750	2.583	151	123868
            751	2.835	77	156147
            752	4.198	101	165594
            753	3.964	102	126593
            754	2.989	125	129860
            755	2.911	103	206990
            756	3.031	92	172758
            757	3.769	50	170688
            758	2.46	215	183737
            759	3.075	104	129706
            760	2.513	100	135910
            761	3.39	124	144715
            762	2.842	72	203168
            763	2.251	94	151944
            764	2.848	103	132393
            765	2.094	59	138326
            766	2.809	94	131067
            767	3.07	139	160665
            768	2.72	106	120205
            769	2.206	53	145881
            770	3.727	165	192784
            771	3.355	73	121082
            772	2.926	112	146632
            773	2.036	220	184048
            774	2.22	112	204812
            775	3.484	116	147467
            776	3.225	57	171398
            777	3.088	92	130681
            778	3.002	106	126844
            779	2.632	53	128269
            780	3.193	105	130517
            781	3.147	135	159360
            782	2.754	83	141713
            783	2.327	120	132819
            784	1.7	107	166564
            785	3.464	157	185643
            786	4.45	100	157167
            787	3.478	69	123018
            788	2.804	59	200654
            789	3.521	87	132188
            790	3.224	88	131562
            791	2.765	148	156452
            792	3.605	108	129595
            793	3.14	127	154734
            794	3.352	74	213968
            795	3.159	64	227355
            796	4.392	88	139052
            797	2.99	138	125782
            798	2.655	66	121443
            799	3.797	97	153121
            800	2.175	84	122576
            801	2.322	113	168848
            802	2.943	78	137830
            803	3.037	122	155508
            804	2.929	86	151185
            805	2.229	189	152963
            806	2.871	123	129102
            807	4.001	43	132144
            808	3.029	243	275500
            809	2.807	86	126378
            810	2.495	252	203920
            811	2.522	62	124417
            812	2.85	86	137579
            813	3.643	82	120483
            814	3.159	101	125902
            815	2.744	186	161433
            816	2.182	83	148453
            817	3.276	95	122358
            818	2.861	136	129514
            819	3.433	87	173031
            820	4.083	93	154260
            821	1.633	66	106247
            822	1.629	117	162071
            823	3.807	83	133535
            824	2.717	185	146441
            825	2.856	47	208177
            826	2.552	170	136210
            827	3.18	124	139953
            828	3.395	77	139006
            829	3.348	74	191455
            830	2.766	80	172345
            831	3.777	122	144674
            832	2.094	50	87530
            833	2.609	102	201611
            834	2.865	222	175530
            835	3.417	149	180190
            836	3.91	122	147331
            837	2.918	72	159817
            838	3.304	114	128201
            839	3.591	149	181270
            840	2.952	192	142044
            841	3.353	227	266736
            842	3.295	54	147158
            843	2.391	84	132664
            844	2.02	149	120781
            845	2.228	102	188909
            846	2.38	84	179070
            847	1.905	74	106751
            848	2.865	102	175781
            849	3.379	96	152072
            850	4.206	51	132172
            851	2.157	120	122517
            852	2.491	152	123540
            853	3.602	265	316053
            854	3.946	166	206310
            855	2.288	65	127021
            856	3.521	46	129630
            857	2.158	117	194112
            858	3.388	102	129086
            859	2.522	81	148076
            860	1.842	86	165909
            861	3.284	180	231333
            862	2.548	86	125388
            863	2.322	61	191678
            864	2.538	130	130092
            865	3.214	81	191362
            866	3.631	75	123972
            867	3.872	125	146965
            868	2.741	94	168014
            869	3.319	62	150443
            870	3.021	78	158879
            871	3.249	76	194849
            872	2.882	53	180046
            873	3.163	114	135264
            874	3.143	78	185829
            875	3.491	82	134655
            876	1.968	90	189405
            877	3.414	130	151456
            878	3.927	156	193358
            879	2.154	117	141122
            880	3.778	95	125234
            881	2.35	61	120720
            882	2.592	263	205049
            883	1.712	154	125155
            884	2.627	68	156540
            885	2.898	239	200095
            886	3.981	82	218255
            887	2.999	108	204244
            888	2.448	77	130542
            889	1.374	83	156036
            890	3.009	56	143999
            891	2.529	107	150001
            892	2.253	141	154448
            893	3.398	96	136163
            894	2.661	101	210905
            895	2.229	109	130556
            896	3.528	158	188133
            897	2.791	88	127879
            898	3.98	119	147356
            899	3.359	101	120520
            900	3.267	147	174965
            901	3.256	94	155335
            902	4.031	55	121747
            903	2.419	179	154076
            904	3.378	153	186168
            905	3.262	61	156780
            906	3.285	39	175560
            907	3.156	81	153046
            908	2.862	65	145335
            909	3.516	158	178191
            910	2.809	110	135420
            911	2.353	97	158530
            912	3.219	102	122609
            913	2.314	117	126222
            914	2.82	165	128297
            915	2.617	65	192404
            916	3.22	106	130063
            917	2.01	77	156514
            918	3.18	272	333373
            919	3.003	101	122545
            920	2.602	117	125245
            921	2.872	52	82767
            922	2.826	93	121192
            923	3.734	181	228596
            924	2.365	73	196506
            925	2.99	106	237779
            926	3.011	205	242834
            927	2.765	234	199985
            928	3.298	76	142755
            929	3.772	88	141999
            930	3.239	66	133794
            931	2.738	84	140473
            932	2.59	90	164197
            933	2.515	64	143778
            934	2.566	64	225538
            935	2.946	142	141329
            936	2.851	45	134196
            937	2.023	156	129550
            938	2.851	155	123140
            939	3.055	87	139080
            940	2.805	79	154639
            941	2.595	119	127611
            942	3.268	214	250608
            943	3.329	119	143619
            944	2.76	100	153572
            945	3.171	76	188656
            946	3.147	113	128334
            947	4.179	89	143822
            948	2.937	302	233276
            949	3.442	73	149301
            950	3.848	74	161927
            951	2.818	184	150280
            952	2.702	85	220557
            953	2.567	50	120090
            954	2.942	149	137635
            955	2.557	302	256760
            956	2.905	113	141512
            957	2.9	78	174981
            958	2.854	81	147081
            959	2.669	92	142766
            960	3.487	133	157261
            961	4.027	185	286382
            962	3.753	68	209622
            963	3.067	167	189878
            964	2.804	86	124836
            965	3.127	78	181826
            966	2.944	93	129123
            967	2.679	90	163473
            968	2.744	78	167747
            969	2.892	284	226907
            970	2.389	71	159062
            971	3.138	84	138166
            972	2.589	74	136880
            973	2.083	66	155582
            974	3.067	160	197303
            975	2.249	102	143795
            976	2.811	96	150465
            977	2.823	128	133003
            978	3.405	80	141428
            979	2.626	142	211681
            980	3.667	116	135423
            981	3.645	68	135765
            982	3.3	150	186714
            983	2.797	146	124973
            984	2.841	89	134954
            985	3.213	174	203223
            986	3.242	48	157337
            987	3.087	107	125713
            988	3.359	91	144920
            989	2.742	144	122464
            990	3.455	109	134663
            991	2.973	76	162497
            992	3.143	126	149970
            993	3.393	60	159465
            994	2.227	71	125838
            995	1.913	83	80079
            996	3.952	104	124770
            997	3.904	82	214339
            998	3.575	75	128628
            999	3.606	98	131932
            1000	2.934	130	122540
